time,open,high,low,close,volume
2018-02-27 11:00:00,1.23274,1.23312,1.23131,1.23172,2100
2018-02-27 12:00:00,1.23174,1.2321,1.2315,1.23166,1756
2018-02-27 13:00:00,1.23169,1.23181,1.2286,1.22873,8941
2018-02-27 14:00:00,1.22874,1.22988,1.22714,1.2274200000000002,6655
2018-02-27 15:00:00,1.2275,1.2279,1.2221799999999998,1.22389,10723
2018-02-27 16:00:00,1.22384,1.22465,1.22307,1.22392,6326
2018-02-27 17:00:00,1.22393,1.22512,1.22255,1.2248,3566
2018-02-27 18:00:00,1.22478,1.2255,1.22411,1.22428,2041
2018-02-27 19:00:00,1.22433,1.22451,1.2234200000000002,1.22359,1595
2018-02-27 20:00:00,1.22354,1.22404,1.2229,1.22296,1300
2018-02-27 21:00:00,1.22294,1.22333,1.22258,1.22333,762
2018-02-27 22:00:00,1.22333,1.22359,1.22302,1.22356,851
2018-02-27 23:00:00,1.2235,1.22386,1.22262,1.22263,1032
2018-02-28 00:00:00,1.22261,1.22374,1.22212,1.22316,2087
2018-02-28 01:00:00,1.22314,1.22379,1.22269,1.22296,2637
2018-02-28 02:00:00,1.22298,1.22341,1.22154,1.2216200000000002,2020
2018-02-28 03:00:00,1.22163,1.22294,1.22154,1.22236,1711
2018-02-28 04:00:00,1.22232,1.22266,1.22209,1.22242,697
2018-02-28 05:00:00,1.2224700000000002,1.22284,1.22216,1.22273,808
2018-02-28 06:00:00,1.22273,1.2238,1.2218,1.2236,1888
2018-02-28 07:00:00,1.22361,1.22415,1.22224,1.22238,3193
2018-02-28 08:00:00,1.22233,1.22242,1.21993,1.22106,3875
2018-02-28 09:00:00,1.22105,1.22234,1.21985,1.222,3409
2018-02-28 10:00:00,1.22202,1.223,1.221,1.22207,2981
2018-02-28 11:00:00,1.22204,1.22256,1.2214,1.2218,2729
2018-02-28 12:00:00,1.2218,1.22262,1.22112,1.22191,2814
2018-02-28 13:00:00,1.22196,1.22227,1.22024,1.22182,4071
2018-02-28 14:00:00,1.22187,1.22286,1.22068,1.22081,3826
2018-02-28 15:00:00,1.2208,1.22151,1.21874,1.21962,5749
2018-02-28 16:00:00,1.21962,1.22212,1.2193,1.22104,4472
2018-02-28 17:00:00,1.22104,1.22226,1.22048,1.22088,2182
2018-02-28 18:00:00,1.22092,1.22114,1.22005,1.22108,1447
2018-02-28 19:00:00,1.22108,1.22147,1.22004,1.22031,1398
2018-02-28 20:00:00,1.2203,1.2204700000000002,1.2195200000000002,1.22004,1982
2018-02-28 21:00:00,1.22002,1.2201799999999998,1.21926,1.21946,902
2018-02-28 22:00:00,1.2193200000000002,1.2199799999999998,1.21906,1.21924,1125
2018-02-28 23:00:00,1.21922,1.21966,1.21901,1.21914,697
2018-03-01 00:00:00,1.2191,1.21943,1.21834,1.21892,2058
2018-03-01 01:00:00,1.21894,1.21925,1.21839,1.21912,1716
2018-03-01 02:00:00,1.21917,1.2194,1.21864,1.21898,1436
2018-03-01 03:00:00,1.2189299999999998,1.21984,1.2189,1.2196,890
2018-03-01 04:00:00,1.21957,1.21962,1.21897,1.21934,843
2018-03-01 05:00:00,1.21937,1.2197,1.21906,1.21928,981
2018-03-01 06:00:00,1.21928,1.22065,1.21874,1.2206,2062
2018-03-01 07:00:00,1.2206,1.2213200000000002,1.2199799999999998,1.22004,3459
2018-03-01 08:00:00,1.22003,1.22058,1.21912,1.21972,3464
2018-03-01 09:00:00,1.21968,1.2197,1.2179799999999998,1.2181799999999998,2845
2018-03-01 10:00:00,1.2182,1.2196,1.218,1.21882,2713
2018-03-01 11:00:00,1.2188,1.21904,1.218,1.21848,1888
2018-03-01 12:00:00,1.2185,1.21888,1.21648,1.21689,2673
2018-03-01 13:00:00,1.21694,1.21881,1.21628,1.21874,3521
2018-03-01 14:00:00,1.21872,1.2192,1.21648,1.21734,4447
2018-03-01 15:00:00,1.2173,1.22054,1.2154200000000002,1.21766,9721
2018-03-01 16:00:00,1.2177,1.2221799999999998,1.2172,1.22156,6484
2018-03-01 17:00:00,1.2216,1.222,1.2205,1.2212,3819
2018-03-01 18:00:00,1.2212,1.22173,1.21866,1.2197,4379
2018-03-01 19:00:00,1.2197,1.22586,1.21959,1.2255,7860
2018-03-01 20:00:00,1.22551,1.22736,1.22528,1.22626,6575
2018-03-01 21:00:00,1.22625,1.22702,1.22599,1.22666,1543
2018-03-01 22:00:00,1.2262,1.2275,1.2262,1.22746,814
2018-03-01 23:00:00,1.22743,1.22743,1.22658,1.22715,1097
2018-03-02 00:00:00,1.22714,1.22757,1.2261799999999998,1.22734,2158
2018-03-02 01:00:00,1.22728,1.22809,1.22673,1.22744,2476
2018-03-02 02:00:00,1.2275,1.22767,1.22694,1.22734,1960
2018-03-02 03:00:00,1.22739,1.2281799999999998,1.22722,1.22802,1175
2018-03-02 04:00:00,1.2280799999999998,1.22876,1.2278,1.2278,1047
2018-03-02 05:00:00,1.2278,1.2286,1.2274200000000002,1.22791,1377
2018-03-02 06:00:00,1.22791,1.22792,1.22624,1.22628,2358
2018-03-02 07:00:00,1.22626,1.22674,1.22514,1.22632,3535
2018-03-02 08:00:00,1.22632,1.22786,1.22548,1.22744,3465
2018-03-02 09:00:00,1.2274,1.22825,1.2262,1.22759,3206
2018-03-02 10:00:00,1.22761,1.22982,1.22745,1.22904,3493
2018-03-02 11:00:00,1.22906,1.23225,1.22888,1.23044,5046
2018-03-02 12:00:00,1.2304,1.23234,1.2304,1.2308,3632
2018-03-02 13:00:00,1.23081,1.23204,1.2294,1.23088,4128
2018-03-02 14:00:00,1.2309,1.23158,1.22974,1.23143,5285
2018-03-02 15:00:00,1.2314200000000002,1.23331,1.23082,1.23094,6053
2018-03-02 16:00:00,1.23095,1.23239,1.23043,1.23143,4783
2018-03-02 17:00:00,1.23144,1.23204,1.23042,1.23124,2746
2018-03-02 18:00:00,1.23125,1.23241,1.23124,1.23214,2433
2018-03-02 19:00:00,1.2321799999999998,1.23312,1.23204,1.23311,1621
2018-03-02 20:00:00,1.23316,1.2336,1.23236,1.23306,2485
2018-03-02 21:00:00,1.23306,1.2331299999999998,1.23172,1.23183,1766
2018-03-04 22:00:00,1.23336,1.23656,1.2324899999999999,1.2347299999999999,3465
2018-03-04 23:00:00,1.23474,1.23481,1.22995,1.23176,6426
2018-03-05 00:00:00,1.23176,1.2338200000000001,1.23164,1.23326,2736
2018-03-05 01:00:00,1.23324,1.23374,1.2328,1.2329999999999999,1619
2018-03-05 02:00:00,1.23298,1.23306,1.2319200000000001,1.2321799999999998,1575
2018-03-05 03:00:00,1.23213,1.23284,1.23164,1.2327,1137
2018-03-05 04:00:00,1.23268,1.23278,1.23193,1.2321799999999998,949
2018-03-05 05:00:00,1.2322,1.23259,1.23124,1.23191,1034
2018-03-05 06:00:00,1.23191,1.2321,1.22868,1.2291,2822
2018-03-05 07:00:00,1.2291,1.22977,1.22689,1.2284899999999999,6030
2018-03-05 08:00:00,1.22848,1.23337,1.22825,1.23242,5957
2018-03-05 09:00:00,1.23245,1.2334399999999999,1.23118,1.23224,3412
2018-03-05 10:00:00,1.23222,1.2332,1.23066,1.23135,3326
2018-03-05 11:00:00,1.23138,1.2316,1.2295200000000002,1.23013,2912
2018-03-05 12:00:00,1.23015,1.2306,1.22842,1.2297799999999999,3108
2018-03-05 13:00:00,1.22975,1.23126,1.22929,1.23084,2623
2018-03-05 14:00:00,1.23084,1.2324,1.23022,1.2324,3420
2018-03-05 15:00:00,1.2323600000000001,1.23296,1.23102,1.23276,5163
2018-03-05 16:00:00,1.2328,1.23491,1.23204,1.23292,4779
2018-03-05 17:00:00,1.23294,1.23404,1.2323,1.2334200000000002,2768
2018-03-05 18:00:00,1.23339,1.23353,1.23221,1.2325,1625
2018-03-05 19:00:00,1.23246,1.23346,1.23224,1.23252,1511
2018-03-05 20:00:00,1.23252,1.2338799999999999,1.23227,1.23385,1479
2018-03-05 21:00:00,1.2338200000000001,1.23383,1.23338,1.23358,521
2018-03-05 22:00:00,1.23358,1.23386,1.23316,1.2334399999999999,428
2018-03-05 23:00:00,1.2334200000000002,1.2339799999999999,1.23337,1.2337,762
2018-03-06 00:00:00,1.2337,1.23565,1.2335200000000002,1.23501,2192
2018-03-06 01:00:00,1.23498,1.2363,1.23486,1.23559,2713
2018-03-06 02:00:00,1.23565,1.2359799999999999,1.23482,1.2351,1147
